Neighbourhood Name,Total - Population (Denominator),Total - In Low Income MBM
Agincourt North,29110,6770
Agincourt South-Malvern West,23765,5620
Alderwood,12035,1030
Annex,30530,6280
Banbury-Don Mills,27705,3895
Bathurst Manor,15865,2880
Bay Street Corridor,25790,10065
Bayview Village,21395,5175
Bayview Woods-Steeles,13130,2495
Bedford Park-Nortown,23240,2455
Beechborough-Greenbrook,6205,1730
Bendale,29955,6975
Birchcliffe-Cliffside,22295,3405
Black Creek,21745,7220
Blake-Jones,7725,2015
Briar Hill - Belgravia,14260,2720
Bridle Path-Sunnybrook-York Mills,9260,920
Broadview North,11490,2700
Brookhaven-Amesbury,17760,4695
Cabbagetown-South St. James Town,11675,2665
Caledonia-Fairbank,9950,1545
Casa Loma,10985,1600
Centennial Scarborough,13370,920
Church-Yonge Corridor,30595,8705
Clairlea-Birchmount,26975,5410
Clanton Park,16465,2855
Cliffcrest,15950,2930
Corso Italia-Davenport,14135,2100
Danforth,9665,1490
Danforth-East York,17195,2320
Don Valley Village,27070,6870
Dorset Park,25005,5785
Dovercourt-Wallace Emerson-Junction,36615,7710
Downsview-Roding-CFB,35055,7420
Dufferin Grove,11790,2610
East End-Danforth,21370,4255
Edenbridge-Humber Valley,13100,1225
Eglinton East,22770,6025
Elms-Old Rexdale,9460,2315
Englemount-Lawrence,22385,5260
Eringate-Centennial-West Deane,18575,1845
Etobicoke West Mall,11830,2150
Flemingdon Park,21935,7550
Forest Hill North,12825,2210
Forest Hill South,10735,1220
Glenfield-Jane Heights,30485,8280
Greenwood-Coxwell,14425,3020
Guildwood,9920,835
Henry Farm,15725,4820
High Park North,22165,3905
High Park-Swansea,23935,3000
Highland Creek,12500,1355
Hillcrest Village,16950,4020
Humber Heights-Westmount,13370,1970
Humber Summit,12415,2485
Humbermede,15545,3750
Humewood-Cedarvale,14375,2600
Ionview,13650,3340
Islington-City Centre West,43985,7250
Junction Area,14355,2250
Keelesdale-Eglinton West,11065,2210
Kennedy Park,17130,4780
Kensington-Chinatown,17965,7025
Kingsview Village-The Westway,22005,5600
Kingsway South,9280,515
Lambton Baby Point,7990,1595
L'Amoreaux,43945,10940
Lansing-Westgate,16170,3125
Lawrence Park North,14625,1170
Lawrence Park South,15175,1245
Leaside-Bennington,16830,1215
Little Portugal,15560,2970
Long Branch,10090,2065
Malvern,43795,9195
Maple Leaf,10100,1620
Markland Wood,10555,895
Milliken,26585,7240
Mimico,33975,6655
Morningside,17450,4220
Moss Park,20505,6395
Mount Dennis,13585,3670
Mount Olive-Silverstone-Jamestown,32940,9690
Mount Pleasant East,16760,1945
Mount Pleasant West,29655,6620
New Toronto,11295,3065
Newtonbrook East,16095,4615
Newtonbrook West,23840,6900
Niagara,31185,4815
North Riverdale,11900,1440
North St. James Town,18615,7350
Oakridge,13840,5945
Oakwood Village,21220,4305
O'Connor-Parkview,18665,4410
Old East York,9220,1420
Palmerston-Little Italy,13835,2790
Parkwoods-Donalda,34810,7745
Pelmo Park-Humberlea,10730,1340
Playter Estates-Danforth,7810,1140
Pleasant View,15825,3240
Princess-Rosethorn,11050,785
Regent Park,10805,4755
Rexdale-Kipling,10540,2140
Rockcliffe-Smythe,22240,5220
Roncesvalles,14955,3515
Rosedale-Moore Park,20920,2405
Rouge,46495,4770
Runnymede-Bloor West Village,10060,755
Rustic,9930,3150
Scarborough Village,16725,5420
South Parkdale,21835,7005
South Riverdale,27880,5605
St.Andrew-Windfields,17815,2955
Steeles,24640,6230
Stonegate-Queensway,25050,3125
Tam O'Shanter-Sullivan,27465,6600
Taylor-Massey,15680,5445
The Beaches,21575,2235
Thistletown-Beaumond Heights,10365,2005
Thorncliffe Park,20840,9515
Trinity-Bellwoods,16555,3065
University,7605,1930
Victoria Village,17515,4390
Waterfront Communities-The Island,65900,12280
West Hill,27385,6935
West Humber-Clairville,33230,5950
Westminster-Branson,26270,7095
Weston,17995,5440
Weston-Pellam Park,11095,2570
Wexford/Maryvale,27900,5580
Willowdale East,50435,15535
Willowdale West,16925,4620
Willowridge-Martingrove-Richview,22155,3455
Woburn,53495,15410
Woodbine Corridor,12530,2180
Woodbine-Lumsden,7870,1355
Wychwood,14335,2705
Yonge-Eglinton,11815,1620
Yonge-St.Clair,12525,1990
York University Heights,27580,7800
Yorkdale-Glen Park,14810,2395
