bossy,NNNNN,flier,YN?NN,finch,YYNN?,fight,YYYYY
elegy,NNNNN,birth,N?YNN,acrid,N?YYN,curio,YYYYY
chuck,N?NYN,hitch,NYNYY,finch,NYNYY,birch,YYYYY
fetus,NNY?N,dutch,NYYYY,butch,YYYYY
halve,NYNNN,gaunt,NYNYY,faint,YYYYY
blown,NNNNN,dicey,NNN?N,grate,YNNN?,guess,YYYYY
dwelt,YYYYN,dwell,YYYYY
crawl,YYNNN,cress,YYNNN,crook,YYNNY,crick,YYYYY
chose,NNNNY,grape,YNYNY,glaze,YYYNY,glade,YYYYY
floor,NNNNN,asset,????Y,beast,YYYYY
birth,NNNNN,godly,?NNYN,eagle,N?YYY,angle,YYYYY
apply,?NNNY,dairy,N?N?Y,gravy,N??NY,foray,YYYYY
dream,NN??N,angle,?N?NY,gauze,YYYNY,gauge,YYYYY
flare,NNYNN,chant,NNYNN,guava,NNYN?,amass,YYYYY
havoc,N?NNN,erase,NN?YY,amuse,YNYYY,abuse,YYYYY
foray,NN??N,extra,?NN??,brake,NYYYY,drake,YYYYY
diner,N?NNN,amiss,YYYNN,amity,YYYYY
berry,NN??N,frank,NY?NY,croak,YYYYY
climb,?NNNN,farce,N?N??,decay,YYYYY
anode,YN?NN,arbor,YN?YY,abhor,YYYYY
envoy,NNNNN,braid,N??NN,altar,?N?Y?,carat,YYYYY
etude,NNN?N,grand,NNNN?,dilly,YYNYY,dimly,YYYYY
booty,?NNNN,debar,NNY?N,album,?NYNN,cabin,YYYYY
blast,NNNNN,envoy,NNNNN,crimp,YYYNN,crick,YYYYY
glove,NYNNN,claim,YYN??,climb,YYYYY
feign,YN?N?,finch,YYYNN,final,YYYYY
giver,NNNNN,banal,Y????,bland,YYYYN,blank,YYYYY
brush,NNNNN,gonad,Y?NNN,gloom,YYYNN,glove,YYYYY
flood,NNYN?,anode,NNY?Y,drove,YYYYY
bathe,N?YNN,altar,Y?YNN,aptly,YYYYY
dodge,NNNN?,exert,NNYNN,clean,?YYNN,fleck,YYYYY
curio,NNN?N,blitz,N??NN,aisle,NYN?N,filmy,YYYYY
bezel,N?N?N,chute,N?YNY,house,YYYYY
booth,NNNYN,gusty,NNNYN,elite,NNYYN,fritz,YYYYY
heron,NN?Y?,donor,YYYYY
booth,NNNNY,gnash,YNNNY,glyph,Y?NNY,gulch,YYYYY
craft,N?NNY,burnt,YNYNY,beret,YYYYY
eager,NNNNN,climb,YYYNN,click,YYYNY,clink,YYYYY
flick,NYN?Y,clank,YYNNY,clerk,YYYYY
chirp,YNNNN,cause,YNNNN,colon,Y???N,clock,YYYYY
hover,NNN?N,fetid,N??NN,eject,YN?N?,elate,YYYYY
dread,NN??N,facet,YYN?N,false,YY?NY,fable,YYYYY
batty,NNNNN,creed,?NNNN,finch,YNNYN,flock,YYYYY
glint,NYNNN,blurb,NYNYN,flare,YY?YN,flora,YYYYY
habit,NNNNN,clerk,NN?NN,fudge,NNYN?,endow,YYYYY
datum,N?NNN,aware,Y?NN?,askew,YYYYY
brawn,NN?NN,gloat,NNY?N,avoid,YYYYY
begat,NNN?N,annul,?NNNN,havoc,Y?N?N,hoard,YYYYY
beady,NNY?N,hoard,NNYN?,adapt,YYYYY
bathe,N?NNY,alone,YNYNY,arose,Y?YNY,adore,YYYYY
debit,NNNN?,aunty,NYNYY,gusty,YYYYY
flank,NNN?N,donut,NN??N,churn,YN?NY,cumin,YYYYY
grime,NN?NY,aisle,NYNNY,diode,YYYYY
bliss,YN???,bison,Y?YNY,basin,YYYYY
badge,NNNNN,cliff,N????,filmy,YYYNN,filth,YYYYY
