"","Date reported to Alberta Health","Number of lab tests","Cumulative number of lab tests","Number of cases","Cumulative number of cases","Currently hospitalized","Currently in ICU","count_hosp_covid_related","count_icu_covid_related","Cumulative number of deaths","Number of deaths","Number of variants of concern","Percent positivity"
"1",2020-03-06,60,511,0,0,0,0,NA,NA,0,0,0,5
"2",2020-03-07,281,792,1,2,0,0,NA,NA,0,0,0,0
"3",2020-03-08,454,1246,1,3,0,0,NA,NA,0,0,0,0
"4",2020-03-09,643,1889,4,7,1,0,NA,NA,0,0,0,1.71
"5",2020-03-10,784,2673,9,16,1,0,NA,NA,0,0,0,1.91
"6",2020-03-11,1334,4007,7,23,1,0,NA,NA,0,0,0,0.6
"7",2020-03-12,1147,5154,3,26,2,1,NA,NA,0,0,0,0.26
"8",2020-03-13,1587,6741,8,34,5,2,NA,NA,0,0,0,1.2
"9",2020-03-14,1555,8296,22,56,5,2,NA,NA,0,0,0,1.93
"10",2020-03-15,1834,10130,11,67,5,2,NA,NA,0,0,0,0.87
"11",2020-03-16,1485,11615,24,91,6,2,NA,NA,0,0,0,2.63
"12",2020-03-17,2083,13698,11,102,7,3,NA,NA,0,0,0,0.48
"13",2020-03-18,2878,16576,29,131,12,3,NA,NA,1,1,0,1.88
"14",2020-03-19,2869,19445,32,163,15,8,NA,NA,1,0,0,1.67
"15",2020-03-20,3593,23038,46,209,16,9,NA,NA,1,0,0,1.64
"16",2020-03-21,3507,26545,35,244,19,10,NA,NA,1,0,0,1.17
"17",2020-03-22,2854,29399,47,291,20,10,NA,NA,1,0,0,1.26
"18",2020-03-23,2728,32127,53,344,22,10,NA,NA,1,0,0,1.65
"19",2020-03-24,3143,35270,68,412,29,11,NA,NA,1,0,0,1.81
"20",2020-03-25,1645,36915,63,475,33,11,NA,NA,1,0,0,3.65
"21",2020-03-26,1316,38231,51,526,34,11,NA,NA,1,0,0,2.74
"22",2020-03-27,3697,41928,85,611,35,13,NA,NA,1,0,0,2.41
"23",2020-03-28,2145,44073,54,665,38,14,NA,NA,1,0,0,2
"24",2020-03-29,1929,46002,34,699,40,15,NA,NA,5,4,0,0.98
"25",2020-03-30,2549,48551,40,739,42,17,NA,NA,10,5,0,1.18
"26",2020-03-31,4770,53321,132,871,42,18,NA,NA,11,1,0,2.56
"27",2020-04-01,3610,56931,108,979,41,20,NA,NA,12,1,0,2.3
"28",2020-04-02,4009,60940,122,1101,43,20,NA,NA,15,3,0,2.34
"29",2020-04-03,1723,62663,70,1171,45,19,NA,NA,18,3,0,2.44
"30",2020-04-04,1807,64470,60,1231,47,20,NA,NA,23,5,0,2.6
"31",2020-04-05,1185,65655,42,1273,44,20,NA,NA,25,2,0,3.21
"32",2020-04-06,941,66596,33,1306,45,18,NA,NA,28,3,0,2.66
"33",2020-04-07,1705,68301,53,1359,46,16,NA,NA,28,0,0,2.29
"34",2020-04-08,1288,69589,33,1392,49,16,NA,NA,32,4,0,2.17
"35",2020-04-09,2291,71880,45,1437,50,15,NA,NA,36,4,0,1.48
"36",2020-04-10,2851,74731,49,1486,52,15,NA,NA,40,4,0,1.4
"37",2020-04-11,2240,76971,65,1551,52,15,NA,NA,45,5,0,2.14
"38",2020-04-12,2305,79276,68,1619,50,15,NA,NA,45,0,0,2.52
"39",2020-04-13,2136,81412,68,1687,49,14,NA,NA,48,3,0,2.76
"40",2020-04-14,2572,83984,126,1813,48,15,NA,NA,48,0,0,4.67
"41",2020-04-15,3092,87076,133,1946,55,12,NA,NA,50,2,0,3.85
"42",2020-04-16,3099,90175,146,2092,58,13,NA,NA,50,0,0,4.94
"43",2020-04-17,5238,95413,213,2305,63,14,NA,NA,54,4,0,4.01
"44",2020-04-18,3800,99213,187,2492,56,16,NA,NA,57,3,0,4.79
"45",2020-04-19,4370,103583,201,2693,62,19,NA,NA,62,5,0,4.51
"46",2020-04-20,4009,107592,183,2876,62,18,NA,NA,66,4,0,4.71
"47",2020-04-21,4313,111905,264,3140,61,20,NA,NA,72,6,0,5.91
