province,date_report,cases,cumulative_cases
Alberta,15-01-2020,0,0
Alberta,16-01-2020,0,0
Alberta,17-01-2020,0,0
Alberta,18-01-2020,0,0
Alberta,19-01-2020,0,0
Alberta,20-01-2020,0,0
Alberta,21-01-2020,0,0
Alberta,22-01-2020,0,0
Alberta,23-01-2020,0,0
Alberta,24-01-2020,0,0
Alberta,25-01-2020,0,0
Alberta,26-01-2020,0,0
Alberta,27-01-2020,0,0
Alberta,28-01-2020,0,0
Alberta,29-01-2020,0,0
Alberta,30-01-2020,0,0
Alberta,31-01-2020,0,0
Alberta,01-02-2020,0,0
Alberta,02-02-2020,0,0
Alberta,03-02-2020,0,0
Alberta,04-02-2020,0,0
Alberta,05-02-2020,0,0
Alberta,06-02-2020,0,0
Alberta,07-02-2020,0,0
Alberta,08-02-2020,0,0
Alberta,09-02-2020,0,0
Alberta,10-02-2020,0,0
Alberta,11-02-2020,0,0
Alberta,12-02-2020,0,0
Alberta,13-02-2020,0,0
Alberta,14-02-2020,0,0
Alberta,15-02-2020,0,0
Alberta,16-02-2020,0,0
Alberta,17-02-2020,0,0
Alberta,18-02-2020,0,0
Alberta,19-02-2020,0,0
Alberta,20-02-2020,0,0
Alberta,21-02-2020,0,0
Alberta,22-02-2020,0,0
Alberta,23-02-2020,0,0
Alberta,24-02-2020,0,0
Alberta,25-02-2020,0,0
Alberta,26-02-2020,0,0
Alberta,27-02-2020,0,0
Alberta,28-02-2020,0,0
Alberta,29-02-2020,0,0
Alberta,01-03-2020,0,0
Alberta,02-03-2020,0,0
Alberta,03-03-2020,0,0
Alberta,04-03-2020,0,0
Alberta,05-03-2020,1,1
Alberta,06-03-2020,0,1
Alberta,07-03-2020,1,2
Alberta,08-03-2020,1,3
Alberta,09-03-2020,4,7
Alberta,10-03-2020,9,16
Alberta,11-03-2020,7,23
Alberta,12-03-2020,3,26
Alberta,13-03-2020,8,34
Alberta,14-03-2020,22,56
Alberta,15-03-2020,11,67
Alberta,16-03-2020,24,91
Alberta,17-03-2020,11,102
Alberta,18-03-2020,29,131
Alberta,19-03-2020,32,163
Alberta,20-03-2020,46,209
Alberta,21-03-2020,35,244
Alberta,22-03-2020,47,291
Alberta,23-03-2020,53,344
Alberta,24-03-2020,68,412
Alberta,25-03-2020,63,475
Alberta,26-03-2020,51,526
Alberta,27-03-2020,85,611
Alberta,28-03-2020,54,665
Alberta,29-03-2020,34,699
Alberta,30-03-2020,40,739
Alberta,31-03-2020,132,871
Alberta,01-04-2020,108,979
Alberta,02-04-2020,122,1101
Alberta,03-04-2020,70,1171
Alberta,04-04-2020,60,1231
Alberta,05-04-2020,42,1273
Alberta,06-04-2020,33,1306
Alberta,07-04-2020,53,1359
Alberta,08-04-2020,33,1392
Alberta,09-04-2020,45,1437
Alberta,10-04-2020,49,1486
Alberta,11-04-2020,65,1551
Alberta,12-04-2020,68,1619
Alberta,13-04-2020,68,1687
Alberta,14-04-2020,126,1813
